239.77.0.116:5146 韶关综合
239.77.0.117:5146 韶关综合HD
239.77.0.118:5146 韶关公共
239.77.0.119:5146 韶关公共HD
239.77.0.120:5146 湛江
239.77.0.121:5146 湛江公共
239.77.0.140:5146 湛江HD
239.77.0.141:5146 湛江公共HD
239.77.0.154:5146 珠海-2 HD
239.77.0.155:5146 珠海-1 HD
239.77.0.156:5146 聚鲨环球精选
239.77.0.157:5146 揭阳综合
239.77.0.158:5146 揭阳公共
239.77.0.164:5146 潮州公共
239.77.0.165:5146 潮州综合
239.77.0.180:5146 ？？？
239.77.0.195:5146 江门综合
239.77.0.196:5146 江门公共
239.77.0.197:5146 江门教育
239.77.0.247:5146 HZTV-1（惠州）
239.77.0.248:5146 HZTV-2（惠州）
239.77.1.7:5146 电视剧频道（深圳）
239.77.1.8:5146 体育健康（深圳）
239.77.1.9:5146 公共频道（深圳）
239.77.1.12:5146 TVS2（上星）
239.77.1.22:5146 财经生活（深圳）
239.77.1.23:5146 DV生活（深圳）
239.77.1.34:5146 都市频道（深圳）
239.77.1.36:5146 娱乐频道（深圳）
239.77.1.38:5146 少儿频道（深圳）
239.77.1.39:5146 宜和购物（深圳）
239.77.1.52:5146 金鹰卡通
239.77.1.68:5146 CETV-4
239.77.1.69:5146 CETV-2
239.77.1.87:5146 宜和购物HD
239.77.1.97:5146 ？？体育？（深圳IPTV公告）
239.77.1.99:5146 央视文化精品
239.77.1.115:5146 书法频道
239.77.1.128:5146 体育健康HD
239.77.1.130:5146 汕头综合
239.77.1.131:5146 汕头经济生活
239.77.1.132:5146 汕头公共
239.77.1.137:5146 ？？？(EBU)
239.77.1.143:5146 中国天气
239.77.1.155:5146 DOXTV
239.77.1.175:5146 移动电视（深圳）
239.77.1.176:5146 都市频道HD
239.77.1.177:5146 电视剧频道HD
239.77.1.178:5146 公共频道HD
239.77.1.189:5146 汕尾1
239.77.1.190:5146 汕尾2
239.77.1.194:5146 摄影频道
239.77.1.205:5146 汽摩
239.77.1.206:5146 ？？？（EBU）
239.77.1.208:5146 先锋乒羽
239.77.1.220:5146 九屏同播
239.77.1.223:5146 龙岗频道HD（深圳）
239.77.1.224:5146 东部频道HD（深圳）
239.77.1.225:5146 ？？？（EBU）
239.77.1.230:5146 珠海-1
239.77.1.231:5146 珠海-2
239.77.1.232:5146 HZTV-1 HD
239.77.1.233:5146 HZTV-2 HD
239.77.1.234:5146 九屏同播
239.77.1.242:5146 财经生活HD
239.77.1.243:5146 娱乐频道HD
239.77.1.244:5146 少儿频道HD
239.77.1.246:5146 盐田台SD
239.77.1.247:5146 众创TVHD（深圳）
239.77.0.173:5146 广东卫视SD？
239.77.0.174:5146 学而思网校1
239.77.0.179:5146 爱上4K？
239.77.0.190:5146 CCTV13SD？
239.77.0.191:5146 广东卫视HD？
239.77.0.192:5146 黑龙江卫视HD？
239.77.0.194:5146 学而思网校2
239.77.0.199:5146 天津卫视HD？
239.77.0.229:5146 广东IPTV广告？
